Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
12.000060.0090,"8x10 Rectangular - 2"" Insulation",LF,4.77,1.1,,75,6.04,HR,0,0,1,HR,0
12.000060.0100,"8x10 Rectangular - 1"" Lined",LF,6.29,1.1,,75,5.68,HR,0,0,1,HR,0
12.000060.0110,8x10 Rectangular - Mastic,LF,8.25,1.1,,75,3.77,HR,0,0,1,HR,0
12.000060.0120,8x10 Rectangular - Bare,LF,3.75,1.1,,75,6.87,HR,0,0,1,HR,0
12.000060.0130,"8x12 Rectangular - 2"" Insulation",LF,5.3,1.1,,75,5.9,HR,0,0,1,HR,0
12.000060.0140,"8x12 Rectangular - 1"" Lined",LF,6.87,1.1,,75,5.53,HR,0,0,1,HR,0
12.000060.0150,8x12 Rectangular - Mastic,LF,9.17,1.1,,75,3.56,HR,0,0,1,HR,0
12.000060.0160,8x12 Rectangular - Bare,LF,4.17,1.1,,75,6.79,HR,0,0,1,HR,0
12.000060.0170,"8x14 Rectangular - 2"" Insulation",LF,5.82,1.1,,75,5.79,HR,0,0,1,HR,0
12.000060.0180,"8x14 Rectangular - 1"" Lined",LF,7.26,1.1,,75,5.41,HR,0,0,1,HR,0
12.000060.0190,8x14 Rectangular - Mastic,LF,10.08,1.1,,75,3.4,HR,0,0,1,HR,0
12.000060.0200,8x14 Rectangular - Bare,LF,4.58,1.1,,75,6.76,HR,0,0,1,HR,0
12.000060.0210,"8x16 Rectangular - 2"" Insulation",LF,6.19,1.16,,75,5.25,HR,0,0,1,HR,0
12.000060.0220,"8x16 Rectangular - 1"" Lined",LF,7.82,1.16,,75,4.9,HR,0,0,1,HR,0
12.000060.0230,8x16 Rectangular - Mastic,LF,10.84,1.16,,75,3.09,HR,0,0,1,HR,0
12.000060.0240,8x16 Rectangular - Bare,LF,4.84,1.16,,75,6.1,HR,0,0,1,HR,0
12.000060.0250,"8x18 Rectangular - 2"" Insulation",LF,6.71,1.16,,75,5.14,HR,0,0,1,HR,0
12.000060.0260,"8x18 Rectangular - 1"" Lined",LF,8.38,1.16,,75,4.79,HR,0,0,1,HR,0
